issue_number,title,url,created_date,updated_date,assignee,assessment,plugin_or_scope,comments
242,Adding a #title to x-callback-url using filename causes the link to fail,https://github.com/NotePlan/plugins/issues/242,2022-03-13,2022-12-03,EduardMe,Still useful - Bug Report,NotePlan core (x-callback-url),Fragment/#title handling in filename callback URLs remains a concrete compatibility bug.
243,Clickable portion of links is way too small,https://github.com/NotePlan/plugins/issues/243,2022-03-13,2022-03-18,EduardMe,Still useful - Bug Report,NotePlan core UI,Link hit-target / cursor feedback issue remains actionable.
250,References section should ignore the @Templates folder,https://github.com/NotePlan/plugins/issues/250,2022-03-18,2022-10-11,EduardMe,Still useful - Feature Request,NotePlan core (References),Excluding @Templates from References remains useful.
259,Remove nmn.Templates from active use,https://github.com/NotePlan/plugins/issues/259,2022-04-12,2022-06-07,mikeerickson;EduardMe,Closed (superseded),nmn.Templates → np.Templating,np.Templating is the active templating stack; legacy nmn.Templates is no longer in the tree.
266,[FEATURE] Templating feature request: Composability in Templating,https://github.com/NotePlan/plugins/issues/266,2022-04-20,2022-04-20,mikeerickson,Closed (superseded),np.Templating,Template include/import composability now exists (include/import in np.Templating).
268,Create sorting API and use it for plugin list (and beyond),https://github.com/NotePlan/plugins/issues/268,2022-04-21,2023-07-05,EduardMe,Still useful - Feature Request,NotePlan core API,Locale/emoji-aware sorting utility for plugin lists (and elsewhere) remains useful.
271,"`noteplan-cli plugin:create` fails because of ""missing"" .gitconfig, and using different email addresses",https://github.com/NotePlan/plugins/issues/271,2022-05-01,2022-05-01,,Closed (too old),noteplan-cli,Old plugin:create Git identity / .gitconfig failures; stale relative to current CLI workflows.
273,Improve visibility of plugin details to 'ordinary' users,https://github.com/NotePlan/plugins/issues/273,2022-05-03,2022-06-28,mikeerickson;EduardMe,Still useful - Feature Request,Plugin manager / docs UX,Making plugin docs/changelogs more visible to ordinary users remains useful.
283,Rationalise some Event-related plugin and commands,https://github.com/NotePlan/plugins/issues/283,2022-05-27,2022-06-26,jgclark;dwertheimer,Still useful - Housekeeping,jgclark.EventHelpers / related,Event-related command overlap and naming still merit a scoped rationalisation.
288,Plugin Preferences pane doesn't scroll L-R,https://github.com/NotePlan/plugins/issues/288,2022-06-05,2022-06-25,EduardMe,Still useful - Bug Report,NotePlan core (Plugin Settings UI),Horizontal scrolling for long JSON settings remains a usability bug.
289,Plugin Preferences pane 'string' field can lose cursor as it doesn't grow taller when needed,https://github.com/NotePlan/plugins/issues/289,2022-06-05,2022-06-05,EduardMe,Still useful - Bug Report,NotePlan core (Plugin Settings UI),Multiline string fields should grow while editing so the cursor is not lost.
305,Extending the various .insertParagraph... API calls,https://github.com/NotePlan/plugins/issues/305,2022-06-22,2022-06-28,EduardMe,Still useful - Feature Request,NotePlan core API,Return values and richer indentation support on insertParagraph* would help reliable edits.
306,UI bug in monthly calendar view,https://github.com/NotePlan/plugins/issues/306,2022-06-22,2022-06-22,EduardMe,Still useful - Bug Report,NotePlan core UI (Calendar),Cancelled tasks should not appear as incomplete in monthly calendar overview.
308,sync lines and numbered lists bug,https://github.com/NotePlan/plugins/issues/308,2022-06-22,2022-09-24,,Still useful - Bug Report,NotePlan core API (synced lines),Synced-line operations should preserve numbered-list paragraph types.
309,Add markdown view for published notes so we could use https://markwhen.com/,https://github.com/NotePlan/plugins/issues/309,2022-06-22,2022-06-28,EduardMe,Closed (too old),NotePlan Publish,markwhen.com-specific published-markdown view proposal is stale with no current demand signal.
316,Allow separate theming of front matter in notes,https://github.com/NotePlan/plugins/issues/316,2022-06-28,2022-12-22,EduardMe,Still useful - Feature Request,NotePlan core UI,Separate theming (and optionally collapsing) of frontmatter remains useful.
320,Make noteplan-cli work with SetApp,https://github.com/NotePlan/plugins/issues/320,2022-07-15,2022-07-15,mikeerickson,Closed (too old),noteplan-cli,SetApp path quirks for the legacy CLI are obsolete relative to current distribution.
335,"QuickAdd Plugin (more of an ""how to"" than a ""feature request"", actually)",https://github.com/NotePlan/plugins/issues/335,2022-08-28,2023-03-24,,Still useful - Question/Docs,jgclark.QuickCapture,Primarily a how-to about dynamic dates in Quick Capture; docs/examples would close it.
344,Modifier keys alter options in CommandBar and mod buttons for iphone,https://github.com/NotePlan/plugins/issues/344,2022-09-07,2023-07-05,EduardMe,Closed (superseded),NotePlan core API (CommandBar),"CommandBar results expose keyModifiers; helpers use them (chooseOptionWithModifiers, chooseFolder)."
345,AutoTimeBlocking feature request: Add user preference to indicate which calendars to reference when running /atb,https://github.com/NotePlan/plugins/issues/345,2022-09-08,2022-09-08,,Still useful - Feature Request,dwertheimer.EventAutomations (ATB),Per-calendar include/exclude for AutoTimeBlocking remains useful.
347,Unnecessary plugin log report on missing settings.json file,https://github.com/NotePlan/plugins/issues/347,2022-09-27,2022-09-28,EduardMe,Still useful - Bug Report,NotePlan core (settings load),Missing optional settings.json still logged as an error; should be quiet when plugin has no settings.
348,Viewing the log file for iOS more easily,https://github.com/NotePlan/plugins/issues/348,2022-09-30,2022-10-11,EduardMe,Still useful - Feature Request,NotePlan core iOS,Easier in-app access to plugin logs on iOS remains highly useful for debugging.
352,Templating: Add location: cursor to standard templates (esp meeting notes),https://github.com/NotePlan/plugins/issues/352,2022-10-27,2022-10-27,mikeerickson,Still useful - Feature Request,np.Templating / Meeting Notes templates,Engine supports location:cursor; request is to add it to standard meeting-note templates.
354,Highlighting 'error' text in Plugin Console,https://github.com/NotePlan/plugins/issues/354,2022-10-27,2022-11-30,EduardMe,Still useful - Feature Request,NotePlan core (Plugin Console),Severity highlighting (errors) in the Plugin Console remains useful.
356,Editor.paragraphRangeAtCharacterIndex returns a strange result for the end of the selection,https://github.com/NotePlan/plugins/issues/356,2022-11-05,2022-11-05,EduardMe,Still useful - Bug Report,NotePlan core API (Editor),paragraphRangeAtCharacterIndex end-of-selection behaviour needs a clear contract or fix.
358,API Bug: infinite loop possible with plugin settings,https://github.com/NotePlan/plugins/issues/358,2022-11-07,2022-11-30,EduardMe,Still useful - Bug Report,NotePlan core API (settings),Settings-update callbacks can recurse; needs guardrails or documented safe pattern.
359,Allow paragraph.type to be extended (beyond checklists),https://github.com/NotePlan/plugins/issues/359,2022-11-07,2025-07-25,EduardMe,Still useful - Feature Request,NotePlan core API,Extensible paragraph.type beyond checklists remains a valid platform capability (updated 2025).
365,addTheme doesn't seem to work,https://github.com/NotePlan/plugins/issues/365,2022-11-24,2022-11-30,EduardMe,Still useful - Bug Report,NotePlan core API (themes),Editor.addTheme reliability/docs need clarification or a fix.
366,Extend HTMLView to work as dialog box returning data,https://github.com/NotePlan/plugins/issues/366,2022-11-29,2026-04-11,EduardMe,Still useful - Feature Request,NotePlan core API (HTMLView),"HTMLView windows exist, but an awaitable modal dialog returning data is still not a first-class API."
368,We need a reliable way to open a note by filename and replace the contents,https://github.com/NotePlan/plugins/issues/368,2022-11-30,2022-12-09,EduardMe,Still useful - Bug Report,NotePlan core API,Reliable open-by-filename and replace-contents remains important for plugin correctness.
370,Be able to re-use windows/splits by plugins,https://github.com/NotePlan/plugins/issues/370,2022-12-02,2023-01-23,EduardMe,Closed (superseded),NotePlan core API (HTMLView),"HTMLView customId, htmlWindows, focus, and showWindowWithOptions support reusable windows."
372,add blockID to the openNote x-callback with filename ,https://github.com/NotePlan/plugins/issues/372,2022-12-04,2022-12-04,EduardMe,Still useful - Feature Request,NotePlan core (x-callback-url),Opening a note by filename and jumping to a blockID remains useful.
373,Q: How to get editor when HTML window has focus,https://github.com/NotePlan/plugins/issues/373,2022-12-04,2023-01-03,EduardMe,Still useful - Question/Docs,NotePlan core API (HTMLView/Editor),Documented pattern for Editor access while an HTML window has focus is still needed.
377,np:Templating: Add writeUnderHeading field,https://github.com/NotePlan/plugins/issues/377,2022-12-14,2022-12-14,mikeerickson,Closed (superseded),np.Templating,writeUnderHeading is implemented in the templating write flow (NPEditor.writeNoteContents).
379,Plugin settings number box bug,https://github.com/NotePlan/plugins/issues/379,2022-12-27,2022-12-27,EduardMe,Still useful - Bug Report,NotePlan core (Plugin Settings UI),Locale thousands separators can make number settings uneditable.
387,Templating issue - code fences are getting wiped out,https://github.com/NotePlan/plugins/issues/387,2023-01-10,2023-01-12,mikeerickson,Still useful - Bug Report,np.Templating,Code fences / non-frontmatter dashes must be preserved during rendering.
392,Templating: prompt text including commas does not work properly,https://github.com/NotePlan/plugins/issues/392,2023-01-16,2023-01-16,mikeerickson,Still useful - Bug Report,np.Templating,Quoted prompt text containing commas should parse without truncation.
393,"Task Automation with Weekly, Monthly, Quarterly, Yearly, and 7-day lists",https://github.com/NotePlan/plugins/issues/393,2023-01-16,2023-01-16,,Still useful - Feature Request,dwertheimer.TaskAutomations,Support for weekly/monthly/quarterly/yearly review lists remains useful.
395,np.Templating: provide interface to moment,https://github.com/NotePlan/plugins/issues/395,2023-01-18,2023-01-18,mikeerickson,Closed (too old),np.Templating,Exposing Moment.js specifically is stale; prefer NotePlan/date helpers.
401,np.Templating: date.add and subtract and business add API/docs need normalization,https://github.com/NotePlan/plugins/issues/401,2023-02-01,2023-02-05,mikeerickson,Still useful - Question/Docs,np.Templating,date.add/subtract/business-add signatures and docs should be normalised.
402,New DataStore.fileExists(pathname) API call,https://github.com/NotePlan/plugins/issues/402,2023-02-04,2023-02-07,EduardMe,Closed (superseded),NotePlan core API,DataStore.fileExists() is in flow-typed and used by plugins.
408,Place cursor in template,https://github.com/NotePlan/plugins/issues/408,2023-02-27,2023-02-27,mikeerickson,Still useful - Feature Request,np.Templating,Post-insert cursor placeholder (e.g. <%|%>) is distinct from location:cursor and still requested.
411,Templating: add to both top and bottom of the note from templates,https://github.com/NotePlan/plugins/issues/411,2023-03-01,2023-03-01,mikeerickson,Still useful - Feature Request,np.Templating,Writing to both top (e.g. frontmatter) and body from one template remains useful.
412,Trigger firing unexpectedly,https://github.com/NotePlan/plugins/issues/412,2023-03-01,2023-03-01,EduardMe,Still useful - Bug Report,NotePlan core (triggers),Triggers should not fire on mere menu open/navigation without content changes.
413,Add onThemeChange trigger,https://github.com/NotePlan/plugins/issues/413,2023-03-01,2023-03-02,EduardMe,Still useful - Feature Request,NotePlan core (triggers),onThemeChange trigger still wanted for HTMLView/CSS regeneration; helpers still comment waiting for it.
415,Smarter share sheet to avoid breaking triggers,https://github.com/NotePlan/plugins/issues/415,2023-03-04,2023-03-04,EduardMe,Still useful - Bug Report,NotePlan core (Share sheet / iOS),Share-sheet prepend should not break frontmatter/triggers; smart insert point needed.
416,"RegEx Pipeline Plugin, anyone?",https://github.com/NotePlan/plugins/issues/416,2023-03-04,2023-03-04,,Still useful - Feature Request,Plugin ecosystem,User-configured regex pipeline plugin remains a reasonable extension idea.
421,noteplan plugin:dev - remove some commands,https://github.com/NotePlan/plugins/issues/421,2023-03-11,2023-03-11,mikeerickson,Closed (too old),noteplan-cli,Stale CLI cleanup of obsolete plugin:dev commands/flags.
422,npc plugin:dev -wc shared.AI doesn't work,https://github.com/NotePlan/plugins/issues/422,2023-03-11,2023-03-11,mikeerickson,Closed (too old),noteplan-cli / shared.AI,Legacy plugin:dev -wc shared.AI failure; low priority vs current tooling.
424,calendarNoteByDateString() not working for uninitialised notes,https://github.com/NotePlan/plugins/issues/424,2023-03-15,2023-03-15,EduardMe,Still useful - Bug Report,NotePlan core API,calendarNoteByDateString still documented as possibly undefined for uncreated notes; parity with calendarNoteByDate not evidenced.
426,.prependParagraph() not respecting frontmatter,https://github.com/NotePlan/plugins/issues/426,2023-03-18,2023-03-19,EduardMe,Still useful - Bug Report,NotePlan core API,prependParagraph must not insert inside YAML frontmatter.
428,Templating: Make docs clear about two dashes,https://github.com/NotePlan/plugins/issues/428,2023-03-22,2023-03-23,mikeerickson,Still useful - Question/Docs,np.Templating,Frontmatter vs content two-dash delimiter behaviour still needs clearer docs.
435,Extend openNoteByFilename() to create new Calendar notes if missing,https://github.com/NotePlan/plugins/issues/435,2023-04-05,2023-11-07,EduardMe,Still useful - Feature Request,NotePlan core API,openNoteByFilename creating missing calendar notes remains useful (updated late 2023).
439,Tomorrow Option for Task Automations Plug-in,https://github.com/NotePlan/plugins/issues/439,2023-04-19,2023-04-21,dwertheimer,Still useful - Feature Request,dwertheimer.TaskAutomations,A tomorrow option in Task Automations remains useful.
440,Meeting notes plug-in checks to see if note already exists,https://github.com/NotePlan/plugins/issues/440,2023-04-26,2023-04-27,EduardMe,Closed (superseded),np.MeetingNotes,Meeting-note flow now checks for an existing note and can open it (forceNewNote bypass exists).
441,Search Extensions: run from template and pass back the results,https://github.com/NotePlan/plugins/issues/441,2023-04-27,2023-04-28,jgclark,Still useful - Feature Request,jgclark.SearchExtensions,Template-callable search returning results remains a useful integration.
445,Preserve original Sorting from Todolist,https://github.com/NotePlan/plugins/issues/445,2023-05-06,2023-05-06,,Still useful - Feature Request,dwertheimer.EventAutomations (ATB),Preserve original todolist sort order option remains useful.
446,Rich Text Output Window Not Opening,https://github.com/NotePlan/plugins/issues/446,2023-05-09,2023-05-25,,Closed (too old),jgclark.Reviews / HTMLView,2023 one-off rich list window failure; no current reproducible evidence.
451,Automatic Reference in Daily Note to Moved Content,https://github.com/NotePlan/plugins/issues/451,2023-06-13,2023-06-13,,Still useful - Feature Request,jgclark.Filer,Leaving a backlink/audit trail when moving content remains useful.
457,Updating File Names based on Note Titles,https://github.com/NotePlan/plugins/issues/457,2023-07-08,2023-07-08,,Still useful - Feature Request,NotePlan core / NoteHelpers,Optional title→filename sync remains useful but needs careful link safety.
466,Habits/Summaries - add chart view,https://github.com/NotePlan/plugins/issues/466,2023-08-01,2023-08-07,jgclark;dwertheimer,Still useful - Feature Request,jgclark.Summaries,HTML chart view for tracked habits/summaries remains a valid enhancement.
467,Dashboard: hover actions to convert paragraph type,https://github.com/NotePlan/plugins/issues/467,2023-08-03,2023-08-04,jgclark,Still useful - Feature Request,jgclark.Dashboard,Hover/quick actions to convert paragraph type remain useful.
472,Dashboard: vertical spacing,https://github.com/NotePlan/plugins/issues/472,2023-08-09,2023-08-09,jgclark,Still useful - Bug Report,jgclark.Dashboard,Vertical spacing/alignment polish for checkbox/icon rows.
473,Dashboard: todos by #tag (view?),https://github.com/NotePlan/plugins/issues/473,2023-08-10,2023-10-27,jgclark,Closed (superseded),jgclark.Dashboard,Dashboard TAG section and tag/mention filtering infrastructure now exist.
479,Day & Goal Progress,https://github.com/NotePlan/plugins/issues/479,2023-08-17,2023-10-14,jgclark,Still useful - Feature Request,jgclark.Summaries / Progress,Today-focused day & goal progress reporting remains useful.
493,Location for Weather,https://github.com/NotePlan/plugins/issues/493,2023-10-26,2024-02-28,,Still useful - Bug Report,np.Templating (weather),Weather location resolution needs a reproducible permission/fallback fix.
494,Low Priority: Malformed repeats,https://github.com/NotePlan/plugins/issues/494,2023-10-29,2023-11-10,EduardMe,Still useful - Bug Report,jgclark.RepeatExtensions / core repeats,Valid NP-generated repeats should not warn as malformed (P-1).
500,DateAutomations - Allow setting of >date instead of [[date]] for /dln,https://github.com/NotePlan/plugins/issues/500,2023-12-06,2023-12-06,,Still useful - Feature Request,DateAutomations,Allow /dln to use >date instead of [[date]] remains a small useful preference.
501,Method to open Plugin Settings screen for a particular plugin,https://github.com/NotePlan/plugins/issues/501,2023-12-10,2023-12-10,EduardMe,Still useful - Feature Request,NotePlan core API,Deep-link/open Plugin Settings for a specific plugin remains useful for Dashboard/Reviews.
502,Search Extensions: support custom note title,https://github.com/NotePlan/plugins/issues/502,2023-12-12,2023-12-12,,Still useful - Feature Request,jgclark.SearchExtensions,Separating saved-search identity from display title remains useful.
505,Event Helpers  *|MEETINGNOTE|* using wrong template file,https://github.com/NotePlan/plugins/issues/505,2023-12-20,2023-12-20,,Still useful - Bug Report,jgclark.EventHelpers,MEETINGNOTE template lookup must not pick deleted/trash templates with colliding names.
512,Window Tools: clone split / swap splits,https://github.com/NotePlan/plugins/issues/512,2024-01-09,2024-01-09,,Still useful - Feature Request,jgclark.WindowTools,Clone split / swap splits remain useful if core window APIs allow.
514,Templating: allow import name to be dynamic,https://github.com/NotePlan/plugins/issues/514,2024-01-11,2024-01-11,mikeerickson,Still useful - Feature Request,np.Templating,Dynamic import/template name selection remains useful.
515,Dashboard bug: add checklist item sometimes doesn't work,https://github.com/NotePlan/plugins/issues/515,2024-01-14,2024-03-01,jgclark,Still useful - Bug Report,jgclark.Dashboard,Intermittent add-checklist failure (undefined filename path) remains actionable.
517,Templating - Web Service Call and Markdown Tables ,https://github.com/NotePlan/plugins/issues/517,2024-01-17,2024-01-27,mikeerickson,Still useful - Bug Report,np.Templating,Web-service output must preserve Markdown table line breaks.
518,Feature Request: Table of Contents,https://github.com/NotePlan/plugins/issues/518,2024-01-22,2024-03-20,,Still useful - Feature Request,Plugin ecosystem / NoteHelpers,Generate linked TOC from headings remains broadly useful.
519,Add command to download the latest version of all plugins you have (if there are any updates available),https://github.com/NotePlan/plugins/issues/519,2024-01-23,2025-11-03,,Still useful - Feature Request,Plugin manager,Explicit bulk 'update all installed plugins' command (e.g. from a daily template) is still a gap vs per-plugin updates.
520,HTMLView failing to update (occasionally),https://github.com/NotePlan/plugins/issues/520,2024-01-27,2024-03-08,EduardMe,Still useful - Bug Report,NotePlan core API (HTMLView),Intermittent failure to refresh an existing HTMLView remains high priority (P-7).
521,.mentions is empty,https://github.com/NotePlan/plugins/issues/521,2024-01-27,2024-01-27,EduardMe,Still useful - Bug Report,NotePlan core API,note.mentions empty when it should not; related to #183.
522,Occasional loss of a requiredFile in HTMLView,https://github.com/NotePlan/plugins/issues/522,2024-01-27,2024-01-27,EduardMe,Still useful - Bug Report,NotePlan core (requiredFiles/HTMLView),Occasional loss of requiredFiles (e.g. CSS) remains a correctness issue.
523,"DataStore.calendarNoteByDate(..., 'quarter') returns wrong quarter",https://github.com/NotePlan/plugins/issues/523,2024-01-27,2024-01-27,EduardMe,Still useful - Bug Report,NotePlan core API,"calendarNoteByDate(..., 'quarter') wrong quarter near timezone boundaries."
524,Link to create meeting note doesn't create link to event or allow reloading of note once created,https://github.com/NotePlan/plugins/issues/524,2024-01-31,2024-02-13,EduardMe,Still useful - Bug Report,np.MeetingNotes,Create-meeting-note link should persist event association and reopen existing note.
529,"Templating: week number in templates should use NP API to get NP week, not isoWeek",https://github.com/NotePlan/plugins/issues/529,2024-02-20,2024-02-24,mikeerickson,Still useful - Feature Request,np.Templating,"Template week numbers should use NotePlan week start, not raw isoWeek."
532,Repeat not working when task is checked in Daily Note,https://github.com/NotePlan/plugins/issues/532,2024-02-24,2024-06-27,EduardMe,Still useful - Bug Report,jgclark.RepeatExtensions / core,Completing a scheduled repeat from a daily note should generate next occurrence (may need save of origin note).
544,removeParagraphs() API not always working,https://github.com/NotePlan/plugins/issues/544,2024-03-14,2024-03-15,EduardMe,Still useful - Bug Report,NotePlan core API,Intermittent removeParagraphs() failure is a data-integrity issue (seen from Filer).
550,Dashboard: option to have multiple #sections and hide items in multiple sections,https://github.com/NotePlan/plugins/issues/550,2024-04-04,2024-07-26,jgclark,Still useful - Feature Request,jgclark.Dashboard,Multiple configurable #tag sections with cross-section hiding remains useful beyond single TAG section.
556,Helpers: Add hierarchy to the chooseFolder helper,https://github.com/NotePlan/plugins/issues/556,2024-04-11,2024-04-11,jgclark,Still useful - Feature Request,helpers/userInput (chooseFolder),Filtered folder lists still show misleading indent hierarchy; not fully fixed by includeFolderPath.
570,Tidy: Conflicted Copies - links to open in split view,https://github.com/NotePlan/plugins/issues/570,2024-05-08,2024-05-10,jgclark,Still useful - Feature Request,np.Tidy,Open original + conflicted copy in split from Conflicted Copies report remains useful.
575,Move done tasks to note,https://github.com/NotePlan/plugins/issues/575,2024-05-25,2024-05-25,jgclark,Still useful - Feature Request,jgclark.NoteHelpers / Filer,Move/archive done tasks to a note remains a useful workflow command.
576,Synced repeating tasks duplicated on completion,https://github.com/NotePlan/plugins/issues/576,2024-05-26,2024-05-26,,Still useful - Bug Report,jgclark.RepeatExtensions / sync,Synced repeating tasks can duplicate on completion; needs single next instance.
583,New and Edited notes creates backlink in Daily Notes,https://github.com/NotePlan/plugins/issues/583,2024-06-28,2024-06-28,,Still useful - Feature Request,NotePlan core / NoteHelpers,Auto backlink of new/edited notes into daily notes remains useful if activity metadata is reliable.
594,Continue Project reviews after Complete,https://github.com/NotePlan/plugins/issues/594,2024-09-24,2026-02-12,jgclark,Still useful - Feature Request,jgclark.Reviews,Continue to next project review after Complete (updated 2026) remains a small workflow win.
599,Readwise: tags with spaces are not supported,https://github.com/NotePlan/plugins/issues/599,2024-10-28,2024-10-28,aaronpoweruser,Still useful - Bug Report,aaronpoweruser Readwise,Tags with spaces need safe normalisation before frontmatter write.
604,Help with updating plugin library dependencies properly in Node 22+,https://github.com/NotePlan/plugins/issues/604,2024-12-02,2024-12-05,mikeerickson;anvanvan;aaronpoweruser;jgclark;nmn;MeetChopra,Still useful - Housekeeping,Repository tooling / Node 22+,Shared work to keep plugin dependency install working on Node 22+.
605,MOC: Adding flexibility,https://github.com/NotePlan/plugins/issues/605,2024-12-04,2024-12-04,jgclark,Still useful - Feature Request,jgclark.MOCs,"More flexible MOC generation (calendar notes, tags, refresh) remains useful."
